country,continent,subject,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15
 Thailand , Asia ," Gross domestic product per capita, constant prices ",757.8,793.58,1002.2,1295.46,1524.36,1961.22,2393.22,2982.65,4616.9,5852.63,5913.19,7458.4
 Thailand , Asia , Life expectancy ,50.85,53.63,56.06,58.29,60.41,62.49,64.59999999999999,66.08,67.3,67.52,68.56,70.62
 Thailand , Asia , Population ,,25041917,29263397,34024249,39276153,44148285,48827160,52910342,56667095,60216677,62806748,65068149
 Togo , Africa ," Gross domestic product per capita, constant prices ",859.8099999999999,925.91,1067.53,1477.6,1649.66,1532.78,1344.58,1202.2,1034.3,982.29,886.22,882.97
 Togo , Africa , Life expectancy ,38.6,41.21,43.92,46.77,49.76,52.89,55.47,56.94,58.06,58.39,57.56,58.42
 Togo , Africa , Population ,,1357445,1528098,1735550,2056351,2308582,2644765,3154264,3747553,4320890,4977378,5701579
 Trinidad and Tobago , Americas ," Gross domestic product per capita, constant prices ",,4100.39,4997.52,5621.37,6619.55,7899.55,9119.530000000001,7388.6,7370.99,8792.57,11460.6,18008.51
 Trinidad and Tobago , Americas , Life expectancy ,59.1,61.8,64.90000000000001,65.40000000000001,65.90000000000001,68.3,68.83,69.58,69.86,69.47,68.98,69.81999999999999
 Trinidad and Tobago , Americas , Population ,,764900,887498,960155,975199,1039009,1116479,1191336,1183669,1138101,1101832,1056608
 Tunisia , Africa ," Gross domestic product per capita, constant prices ",,1395.23,1660.3,1932.36,2753.29,3120.88,3560.23,3810.42,4332.72,4876.8,5722.9,7092.92
 Tunisia , Africa , Life expectancy ,44.6,47.1,49.58,52.05,55.6,59.84,64.05,66.89,70,71.97,73.04000000000001,73.92
 Tunisia , Africa , Population ,,3950849,4286552,4786986,5303507,6005061,6734098,7724976,8523077,9231669,9770575,10276158
 Turkey , Europe ," Gross domestic product per capita, constant prices ",,2218.75,2322.87,2826.36,3450.7,4269.12,4241.36,5089.04,5678.35,6601.43,6508.09,8458.280000000001
 Turkey , Europe , Life expectancy ,43.59,48.08,52.1,54.34,57.01,59.51,61.04,63.11,66.15000000000001,68.84,70.84999999999999,71.78
 Turkey , Europe , Population ,,25670939,29788695,33411317,37492953,42404033,47328791,52881328,58179144,63047647,67308928,71158647
 Uganda , Africa ," Gross domestic product per capita, constant prices ",734.75,774.37,767.27,908.92,950.74,843.73,682.27,617.72,644.17,816.5599999999999,927.72,1056.38
 Uganda , Africa , Life expectancy ,39.98,42.57,45.34,48.05,51.02,50.35,49.85,51.51,48.83,44.58,47.81,51.54
 Uganda , Africa , Population ,,6675501,7688797,8900294,10190285,11457758,12939400,15283050,18252190,21210254,24739869,29170398
 United Kingdom , Europe ," Gross domestic product per capita, constant prices ",,11283.18,12477.18,14142.85,15895.12,17428.75,18232.42,21664.79,22705.09,26074.53,29479,33203.26
 United Kingdom , Europe , Life expectancy ,69.18000000000001,70.42,70.76000000000001,71.36,72.01000000000001,72.76000000000001,74.04000000000001,75.01000000000001,76.42,77.22,78.47,79.43000000000001
 United Kingdom , Europe , Population ,,51430000,53292000,54959000,56079000,56179000,56339704,56981620,57866349,58808266,59912431,60776238
 United States , Americas ," Gross domestic product per capita, constant prices ",,14847.13,16173.15,19530.37,21806.04,24072.63,25009.56,29884.35,32003.93,35767.43,39097.1,42951.65
 United States , Americas , Life expectancy ,68.44,69.48999999999999,70.20999999999999,70.76000000000001,71.34,73.38,74.65000000000001,75.02,76.09,76.81,77.31,78.23999999999999
 United States , Americas , Population ,,171984000,186538000,198712000,209896000,220239000,232187835,242803533,256894189,272911760,287675526,301139947
 Uruguay , Americas ," Gross domestic product per capita, constant prices ",,6150.77,5603.36,5444.62,5703.41,6504.34,6920.22,7452.4,8137,9230.24,7727,10611.46
 Uruguay , Americas , Life expectancy ,66.06999999999999,67.04000000000001,68.25,68.47,68.67,69.48,70.81,71.92,72.75,74.22,75.31,76.38
 Uruguay , Americas , Population ,,2424959,2598466,2748579,2829526,2873520,2953997,3045153,3149262,3262838,3363085,3447496
 Venezuela , Americas ," Gross domestic product per capita, constant prices ",,9802.469999999999,8422.969999999999,9541.469999999999,10505.26,13143.95,11152.41,9883.58,10733.93,10165.5,8605.049999999999,11415.81
 Venezuela , Americas , Life expectancy ,55.09,57.91,60.77,63.48,65.70999999999999,67.45999999999999,68.56,70.19,71.15000000000001,72.15000000000001,72.77,73.75
 Venezuela , Americas , Population ,,6702668,8143375,9709552,11515649,13503563,15620766,17910182,20265563,22374398,24287670,26084662
 Vietnam , Asia ," Gross domestic product per capita, constant prices ",605.0700000000001,676.29,772.05,637.12,699.5,713.54,707.24,820.8,989.02,1385.9,1764.46,2441.58
 Vietnam , Asia , Life expectancy ,40.41,42.89,45.36,47.84,50.25,55.76,58.82,62.82,67.66,70.67,73.02,74.25
 Vietnam , Asia , Population ,,28998543,33796140,39463910,44655014,50533506,56142181,62826491,69940728,76048996,80908147,85262356
 West Bank and Gaza , Asia ," Gross domestic product per capita, constant prices ",,1827.07,2198.96,2649.72,3133.41,3682.83,4336.03,5107.2,6017.65,7110.67,4515.49,3025.35
 West Bank and Gaza , Asia , Life expectancy ,43.16,45.67,48.13,51.63,56.53,60.77,64.41,67.05,69.72,71.09999999999999,72.37,73.42
 West Bank and Gaza , Asia , Population ,,1070439,1133134,1142636,1089572,1261091,1425876,1691210,2104779,2826046,3389578,4018332
" Yemen, Rep. ", Asia ," Gross domestic product per capita, constant prices ",781.72,804.83,825.62,862.4400000000001,1265.05,1829.77,1977.56,1971.74,1879.5,2117.48,2234.82,2280.77
" Yemen, Rep. ", Asia , Life expectancy ,32.55,33.97,35.18,36.98,39.85,44.18,49.11,52.92,55.6,58.02,60.31,62.7
" Yemen, Rep. ", Asia , Population ,,5498090,6120081,6740785,7407075,8403990,9657618,11219340,13367997,15826497,18701257,22211743
 Zambia , Africa ," Gross domestic product per capita, constant prices ",,1311.96,1452.73,1777.08,1773.5,1588.69,1408.68,1213.32,1210.88,1071.35,1071.61,1271.21
 Zambia , Africa , Life expectancy ,42.04,44.08,46.02,47.77,50.11,51.39,51.82,50.82,46.1,40.24,39.19,42.38
 Zambia , Africa , Population ,,3016000,3421000,3900000,4506497,5216550,6100407,7272406,8381163,9417789,10595811,11746035
 Zimbabwe , Africa ," Gross domestic product per capita, constant prices ",406.88,518.76,527.27,569.8,799.36,685.59,788.86,706.16,693.42,792.45,672.04,469.71
 Zimbabwe , Africa , Life expectancy ,48.45,50.47,52.36,54,55.64,57.67,60.36,62.35,60.38,46.81,39.99,43.49
 Zimbabwe , Africa , Population ,,3646340,4277736,4995432,5861135,6642107,7636524,9216418,10704340,11404948,11926563,12311143
